,I,II,III,IV,V,VI,VII,i,ii,iii,iv,v,vi,vii
I,0,4,0,6,14,4,0,0,2,3,0,1,12,2
II,1,5,0,1,3,0,0,0,0,6,0,0,0,0
III,0,0,0,1,0,0,6,0,0,0,0,0,0,0
IV,4,0,0,0,7,1,0,0,0,0,0,0,4,0
V,4,10,0,3,11,0,0,0,0,0,0,0,3,0
VI,2,0,2,3,0,0,0,0,0,0,0,1,0,0
VII,0,0,2,0,0,1,1,1,0,0,1,0,0,0
i,0,0,5,0,0,1,4,0,0,0,0,0,0,0
ii,0,0,0,0,0,3,0,0,0,0,0,0,0,0
iii,1,4,0,2,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,1,0,0,0,0,0,0,0,0
v,0,0,0,1,0,0,0,0,1,0,0,0,0,0
vi,0,0,0,12,3,0,0,0,0,3,0,0,0,0
vii,0,0,0,0,0,0,0,0,0,2,0,0,0,0
